B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56
2,4,2,3,4,2,3,3,4,2,2,4,2,2,2,2,2,2,2,3,1,1,1,2,2,1,3,1,2,1,3,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2,4,2,3,4,2,3,3,4,1,2,4,3,1,2,2,2,2,2,3,1,1,1,4,2,2,3,2,2,1,2,2,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2
1,2,3,2,4,2,3,3,4,1,2,4,2,2,2,2,2,2,2,3,4,1,1,2,2,1,3,1,2,2,3,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,0
2,4,2,3,4,2,3,3,4,9,2,4,2,1,2,2,2,2,2,3,3,1,1,2,1,0,3,9,1,4,2,4,1,2,1,3,3,4,4,2,2,1,1,1,1,1,1,1,1,1,1,2,9,1,9,1
2,2,2,3,4,2,3,3,4,1,1,4,2,1,2,2,2,2,2,4,4,1,4,2,2,1,3,1,1,2,2,4,2,2,1,3,3,1,3,1,2,1,1,1,0,0,1,0,1,0,0,1,1,2,1,1
2,4,2,3,4,2,3,3,4,1,2,4,2,1,2,2,2,2,2,3,4,1,1,2,2,1,3,1,1,1,2,1,1,2,1,3,3,2,1,1,2,1,1,1,1,1,0,1,1,1,0,3,1,1,1,2
2,4,2,3,4,3,3,3,4,2,2,4,2,2,2,2,2,2,2,2,4,1,3,4,2,2,3,1,0,1,2,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
2,4,2,3,4,2,3,3,4,1,1,4,3,1,2,2,2,2,2,3,4,4,1,2,2,1,3,1,2,2,3,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1
2,2,2,3,4,2,3,3,4,2,2,4,2,1,2,2,2,2,2,3,4,4,1,2,2,1,2,1,1,2,3,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,0,0,3,1,2,2,2
2,4,2,3,4,2,3,3,4,1,2,4,4,0,2,2,2,2,2,3,4,1,1,2,2,1,3,1,1,1,2,4,2,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2,4,2,3,4,2,3,3,4,9,1,4,2,1,2,2,2,2,2,2,4,1,1,2,1,0,2,9,2,2,2,4,2,4,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,9,0
2,4,2,3,4,2,3,3,4,1,2,4,2,1,2,2,2,2,2,2,1,4,1,2,2,1,3,1,1,2,3,4,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,3,4,2,3,3,4,0,1,4,4,0,2,2,2,2,2,2,4,1,1,4,1,0,2,1,2,4,3,2,1,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2,3,2,3,4,2,3,3,4,1,2,4,3,1,2,2,2,2,2,3,2,1,1,2,1,2,3,2,2,1,3,1,1,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2
2,2,2,3,4,2,3,3,4,9,2,4,2,9,2,2,2,2,2,2,2,4,1,4,1,1,2,9,1,4,4,4,1,2,1,3,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,9,2,9,2
2,4,2,3,4,2,3,1,4,1,2,4,2,0,2,2,2,2,2,3,4,1,1,2,1,0,3,0,2,2,3,4,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1
2,4,2,3,4,2,3,3,4,9,2,4,3,1,2,2,2,2,2,3,1,4,1,1,2,0,2,9,2,4,4,4,1,2,4,3,3,1,2,1,3,1,1,1,1,1,1,1,1,1,0,2,9,1,9,2
2,2,2,3,4,2,3,3,4,9,2,4,2,1,2,2,2,2,2,4,2,4,4,2,1,0,2,9,1,2,2,1,2,2,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,0,2,9,1
2,4,2,3,4,3,3,3,4,1,2,1,3,1,2,2,2,2,2,2,2,1,1,2,2,1,3,1,1,4,3,2,1,2,1,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,3,4,2,3,3,4,1,1,4,2,1,2,2,2,2,2,3,4,4,1,2,2,9,2,0,0,1,3,2,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
2,4,2,3,4,2,1,1,4,9,1,1,2,0,2,2,2,2,2,3,4,4,1,3,0,0,2,9,2,4,2,4,2,4,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,9,0,9,2
